classification_axis	classification_label	classification_source	classification_level	is_inferred	protein_assertion_count
biological_process	metabolic_process	Gene Ontology	ADDITIONAL	0	1979
biological_process	response_to_stimulus	Gene Ontology	ADDITIONAL	0	1729
biological_process	signal_transduction	Gene Ontology	ADDITIONAL	0	1360
biological_process	transport_and_localization	Gene Ontology	ADDITIONAL	0	1229
biological_process	transport_and_localization	Gene Ontology	PRIMARY	0	1116
biological_process	developmental_process	Gene Ontology	ADDITIONAL	0	1023
biological_process	unclassified	UniProtKB/GO/InterPro/Reactome integrated annotation	PRIMARY	0	922
biological_process	signal_transduction	Gene Ontology	PRIMARY	0	855
biological_process	developmental_process	Gene Ontology	PRIMARY	0	729
biological_process	transmembrane_transport	Gene Ontology	ADDITIONAL	0	658
biological_process	organelle_organization	Gene Ontology	ADDITIONAL	0	632
biological_process	response_to_stimulus	Gene Ontology	PRIMARY	0	577
biological_process	protein_metabolic_process	Gene Ontology	ADDITIONAL	0	520
biological_process	protein_metabolic_process	Gene Ontology	PRIMARY	0	513
biological_process	lipid_metabolic_process	Gene Ontology	PRIMARY	0	509
biological_process	immune_system_process	Gene Ontology	PRIMARY	0	458
biological_process	metabolic_process	Gene Ontology	PRIMARY	0	443
biological_process	other_biological_process_annotated	Gene Ontology	PRIMARY	0	437
biological_process	immune_system_process	Gene Ontology	ADDITIONAL	0	433
biological_process	cell_adhesion	Gene Ontology	ADDITIONAL	0	330
biological_process	cell_adhesion	Gene Ontology	PRIMARY	0	309
biological_process	organelle_organization	Gene Ontology	PRIMARY	0	301
biological_process	transmembrane_transport	Gene Ontology	PRIMARY	0	249
biological_process	lipid_metabolic_process	Gene Ontology	ADDITIONAL	0	243
biological_process	cell_death	Gene Ontology	ADDITIONAL	0	189
biological_process	nucleic_acid_metabolic_process	Gene Ontology	PRIMARY	0	144
biological_process	carbohydrate_metabolic_process	Gene Ontology	PRIMARY	0	115
biological_process	cell_death	Gene Ontology	PRIMARY	0	113
biological_process	nucleic_acid_metabolic_process	Gene Ontology	ADDITIONAL	0	79
biological_process	carbohydrate_metabolic_process	Gene Ontology	ADDITIONAL	0	73
biological_process	cell_cycle	Gene Ontology	ADDITIONAL	0	10
biological_process	cell_cycle	Gene Ontology	PRIMARY	0	10
membrane_role	membrane_associated_enzyme	MemPro-derived	PRIMARY	1	1884
membrane_role	family_defined_membrane_role_unresolved	MemPro-derived	PRIMARY	1	1722
membrane_role	receptor	MemPro-derived	PRIMARY	1	1324
membrane_role	signaling_regulator	MemPro-derived	ADDITIONAL	1	740
membrane_role	transporter	MemPro-derived	PRIMARY	1	633
membrane_role	ion_channel	MemPro-derived	PRIMARY	1	472
membrane_role	membrane_associated_enzyme	MemPro-derived	ADDITIONAL	1	413
membrane_role	transporter	MemPro-derived	ADDITIONAL	1	408
membrane_role	receptor	GPCRdb;IUPHAR/BPS Guide to PHARMACOLOGY;MemPro-derived	PRIMARY	1	398
membrane_role	signaling_regulator	MemPro-derived	PRIMARY	1	394
membrane_role	membrane_scaffold_or_linker	MemPro-derived	PRIMARY	1	308
membrane_role	adhesion_recognition	MemPro-derived	PRIMARY	1	253
membrane_role	transporter	TCDB;MemPro-derived	PRIMARY	1	138
membrane_role	immune_or_cell_recognition	MemPro-derived	PRIMARY	1	125
membrane_role	receptor	MemPro-derived	ADDITIONAL	1	111
membrane_role	membrane_scaffold_or_linker	MemPro-derived	ADDITIONAL	1	103
membrane_role	membrane_trafficking	MemPro-derived	PRIMARY	1	98
membrane_role	adhesion_recognition	MemPro-derived	ADDITIONAL	1	75
membrane_role	transporter	TCDB;MemPro-derived	ADDITIONAL	1	52
membrane_role	membrane_organizer	MemPro-derived	PRIMARY	1	38
membrane_role	immune_or_cell_recognition	MemPro-derived	ADDITIONAL	1	29
membrane_role	membrane_trafficking	MemPro-derived	ADDITIONAL	1	22
membrane_role	junction_or_adhesion	MemPro-derived	PRIMARY	1	13
membrane_role	junction_or_adhesion	MemPro-derived	ADDITIONAL	1	11
membrane_role	membrane_organizer	MemPro-derived	ADDITIONAL	1	2
membrane_role	receptor	GPCRdb;IUPHAR/BPS Guide to PHARMACOLOGY;MemPro-derived	ADDITIONAL	1	2
molecular_function	binding_activity	Gene Ontology	PRIMARY	0	2438
molecular_function	binding_activity	Gene Ontology	ADDITIONAL	0	2093
molecular_function	catalytic_activity	Gene Ontology	PRIMARY	0	1501
molecular_function	unclassified	UniProtKB/GO/InterPro/Reactome integrated annotation	PRIMARY	0	1260
molecular_function	signaling_receptor_activity	Gene Ontology	PRIMARY	0	1162
molecular_function	molecular_function_regulator	Gene Ontology	ADDITIONAL	0	689
molecular_function	catalytic_activity	Gene Ontology	ADDITIONAL	0	661
molecular_function	transmembrane_transporter_activity	Gene Ontology	ADDITIONAL	0	556
