"object"	"table"	"filter_field"	"category_value"	"record_count"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"membrane_class"	"A"	"5680"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"membrane_class"	"C"	"1507"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"membrane_class"	"B"	"613"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"transmembrane_or_intramembrane"	"4687"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"structure_supported_integral_membrane"	"972"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"uniprot_peripheral_membrane_annotation"	"897"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"explicit_uniprot_covalent_lipid_anchor"	"474"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"validated_direct_or_state_dependent_peripheral"	"388"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"structure_supported_peripheral"	"207"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"covalent_lipid_anchor"	"139"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"validated_complex_mediated_membrane_association"	"15"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"beta_barrel_integral_membrane"	"12"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"primary_membrane_mode"	"immunoglobulin_heavy_chain_membrane_isoform"	"9"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"evidence_level"	"E1"	"5808"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"evidence_level"	"E2"	"1566"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"evidence_level"	"E3"	"426"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"release_role_v72"	"CONFIRMED_CORE"	"7374"
"canonical_protein_membrane_class"	"canonical_protein_membrane_class_v72.tsv.gz"	"release_role_v72"	"CANDIDATE_E3"	"426"
"compound_form"	"compound_form_v72.tsv.gz"	"form_type"	"parent_form"	"637803"
"compound_form"	"compound_form_v72.tsv.gz"	"form_type"	"salt_or_multicomponent_form"	"8893"
