"root"	"name"	"type"	"files"	"bytes"	"gb"	"full_path"
"D:\7.22"	"evidence_expansion_v2_working"	"directory"	"59396"	"34650628360"	"32.271"	"D:\7.22\evidence_expansion_v2_working"
"D:\7.22"	"_migration_originals"	"directory"	"8271"	"4255523703"	"3.963"	"D:\7.22\_migration_originals"
"D:\7.22"	"small_molecule_v1_working"	"directory"	"130"	"2934368702"	"2.733"	"D:\7.22\small_molecule_v1_working"
"D:\7.22"	"outputs"	"directory"	"95"	"2385718021"	"2.222"	"D:\7.22\outputs"
"D:\7.22"	"membrane_master_v5_working"	"directory"	"1272"	"2336391798"	"2.176"	"D:\7.22\membrane_master_v5_working"
"D:\7.22"	"protein_annotation_v63_working"	"directory"	"60"	"1781590365"	"1.659"	"D:\7.22\protein_annotation_v63_working"
"D:\7.22"	"v4_working"	"directory"	"98"	"787667265"	"0.734"	"D:\7.22\v4_working"
"D:\7.22"	"v71_publication_candidate_working"	"directory"	"53"	"689914004"	"0.643"	"D:\7.22\v71_publication_candidate_working"
"D:\7.22"	".git"	"directory"	"28"	"543065016"	"0.506"	"D:\7.22\.git"
"D:\7.22"	"upload"	"directory"	"70"	"457845193"	"0.426"	"D:\7.22\upload"
"D:\7.22"	"v64_candidate_working"	"directory"	"93"	"383475762"	"0.357"	"D:\7.22\v64_candidate_working"
"D:\7.22"	"disease_v63_working"	"directory"	"48"	"282450459"	"0.263"	"D:\7.22\disease_v63_working"
"D:\7.22"	"protein_isoform_v63_working"	"directory"	"60"	"148550510"	"0.138"	"D:\7.22\protein_isoform_v63_working"
"D:\7.22"	"complex_target_v63_working"	"directory"	"29"	"110724257"	"0.103"	"D:\7.22\complex_target_v63_working"
"D:\7.22"	"figure_revision_v2_physicochemical"	"directory"	"29"	"18107349"	"0.017"	"D:\7.22\figure_revision_v2_physicochemical"
"D:\7.22"	"v63_candidate_working"	"directory"	"11"	"818050"	"0.001"	"D:\7.22\v63_candidate_working"
"D:\7.22"	".gitignore"	"file"	"1"	"1392"	"0"	"D:\7.22\.gitignore"
"D:\7.22"	"semifinal"	"directory"	"0"	"0"	"0"	"D:\7.22\semifinal"
"D:\finale"	"negative_upgrade"	"directory"	"397609"	"13442034120"	"12.519"	"D:\finale\negative_upgrade"
"D:\finale"	"02_V6.3_candidate_20260803"	"directory"	"211"	"5305029586"	"4.941"	"D:\finale\02_V6.3_candidate_20260803"
"D:\finale"	"01_正式数据_V6.2"	"directory"	"35"	"4886471518"	"4.551"	"D:\finale\01_正式数据_V6.2"
"D:\finale"	"12_V7_final_completion_20260813"	"directory"	"114"	"3551199120"	"3.307"	"D:\finale\12_V7_final_completion_20260813"
"D:\finale"	"07_M1-M8图表修订_20260806"	"directory"	"41779"	"2810020303"	"2.617"	"D:\finale\07_M1-M8图表修订_20260806"
"D:\finale"	"handoff"	"directory"	"59"	"2107990465"	"1.963"	"D:\finale\handoff"
"D:\finale"	"MemPro_M1_M8_AGENT_REPRO_20260806"	"directory"	"140"	"1995450940"	"1.858"	"D:\finale\MemPro_M1_M8_AGENT_REPRO_20260806"
"D:\finale"	"09_V7_data_freeze_working_20260813"	"directory"	"400"	"1363150257"	"1.27"	"D:\finale\09_V7_data_freeze_working_20260813"
"D:\finale"	"17_MemPro_V7.1_candidate_20260814"	"directory"	"54"	"763734076"	"0.711"	"D:\finale\17_MemPro_V7.1_candidate_20260814"
"D:\finale"	"20_MemPro_V7.1.1_final_20260814"	"directory"	"69"	"605162300"	"0.564"	"D:\finale\20_MemPro_V7.1.1_final_20260814"
